station_id,name,physical_configuration,lat,lon,altitude,address,capacity,is_charging_station,rental_methods,groups,obcn,short_name,nearby_distance,_ride_code_support,rental_uris,post_code,is_valet_station,cross_street
7000,Fort York  Blvd / Capreol Ct,REGULAR,43.639832,-79.395954,,Fort York  Blvd / Capreol Ct,47,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-643-9607,647-643-9607,500.0,True,{},,,
7001,Wellesley Station Green P,ELECTRICBIKESTATION,43.66496415990742,-79.38355031526893,,Yonge / Wellesley,23,True,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']","['E-Charging ', 'South']",416-617-9576,416-617-9576,500.0,True,{},M4Y 1G7,,
7002,St. George St / Bloor St W,REGULAR,43.66713121831853,-79.3995550638237,,St. George St / Bloor St W,17,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-643-9615,647-643-9615,500.0,True,{},,,
7003,Madison Ave / Bloor St W,REGULAR,43.66701830465472,-79.4027958687172,,Madison Ave / Bloor St W,15,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-631-4587,647-631-4587,500.0,True,{},,,
7005,King St W / York St,REGULAR,43.6480008,-79.383177,0.0,King St W / York St,21,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-643-9693,647-643-9693,500.0,True,{},,,
7006,Bay St / College St (East Side),REGULAR,43.660439,-79.385525,,Bay St / College St (East Side),31,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],416-569-2349,416-569-2349,500.0,True,{},,,
7007,College St / Huron St,REGULAR,43.658148,-79.398167,,College St / Huron St,19,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-625-3582,647-625-3582,500.0,True,{},,,
7008,Wellesley St W / Queen's Park Cres,REGULAR,43.663376,-79.392125,,Wellesley St W / Queen's Park Cres,19,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-643-9648,647-643-9648,500.0,True,{},,,
7009,King St E / Jarvis St,REGULAR,43.650325,-79.372287,,King St E / Jarvis St,25,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-620-8649,647-620-8649,500.0,True,{},,,
7010,King St W / Spadina Ave,REGULAR,43.645323,-79.395003,,King St W / Spadina Ave,19,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-202-6537,647-202-6537,500.0,True,{},,,
7012,Elizabeth St / Edward St (Bus Terminal),REGULAR,43.656026,-79.385327,,Elizabeth St / Edward St (Bus Terminal),15,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],647-643-9665,647-643-9665,500.0,True,{},,,
7013,Scott St / The Esplanade,REGULAR,43.64659663170443,-79.37530913867988,0.0,Scott St / The Esplanade,19,False,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",['South'],416-666-6440,416-666-6440,500.0,True,{},M5E 1Z4,,
